4.2	1951.4	9.4742	42.16	-1
0	1951.4	9.7334	42.202	-1
4.0112	1955.5	9.7334	42.244	-1
0	1955.5	5.7418	42.285	-1
4.1	1959.6	5.7418	42.327	-1
0	1959.6	6.0004	42.369	-1
0	1959.6	6.0004	42.41	-1
0	1959.6	6.0004	42.452	-1
4.2	1963.8	6.0004	42.494	-1
0	1963.8	6.2584	42.535	-1
0	1963.8	6.2584	42.577	-1
0	1963.8	6.2584	42.619	-1
4.2012	1968	6.2584	42.661	-1
0	1968	6.5159	42.702	-1
0	1968	6.5159	42.744	-1
0	1968	6.5159	42.786	-1
4.1	1972.1	6.5159	42.827	-1
0	1972.1	6.7728	42.869	-1
0	1972.1	6.7728	42.911	-1
0	1972.1	6.7728	42.952	-1
0	1972.1	6.7728	42.994	-1
0	1972.1	6.7728	43.036	-1
4.2	1976.3	6.7728	43.078	-1
0	1976.3	7.0291	43.119	-1
0	1976.3	7.0291	43.161	-1
0	1976.3	7.0291	43.203	-1
0	1976.3	7.0291	43.244	-1
0	1976.3	7.0291	43.286	-1
4.2	1980.5	7.0291	43.328	-1
0	1980.5	7.2849	43.369	-1
0	1980.5	7.2849	43.411	-1
0	1980.5	7.2849	43.453	-1
0	1980.5	7.2849	43.495	-1
0	1980.5	7.2849	43.536	-1
0	1980.5	7.2849	43.578	-1
4.2	1984.7	7.2849	43.62	-1
0	1984.7	7.5401	43.661	-1
0	1984.7	7.5401	43.703	-1
0	1984.7	7.5401	43.745	-1
0	1984.7	7.5401	43.786	-1
0	1984.7	7.5401	43.828	-1
